State;Age;Cost_kr_Mean;Cost_kr_SE;Cost_Mean;Cost_SE;;;;;
OW;69;19240,26;829,0919;2204,303145;94,98675603;;;;;
OW;70;19546,4;861,3146;2239,376754;98,67842126;;;;;
OW;71;19857,08;895,1286;2274,970499;102,5523973;;;;;
OW;72;20172,37;930,5349;2311,092398;106,6087988;;;;;
OW;73;20492,33;967,5354;2347,749327;110,8478433;;;;;
OW;74;20817,03;1006,133;2384,949304;115,2698631;;;;;
OW;75;21146,55;1046,332;2422,701495;119,8753509;;;;;
OW;76;21480,95;1088,139;2461,012774;124,6650627;;;;;
OW;77;21820,31;1131,56;2499,892307;129,6396861;;;;;
OW;78;22164,71;1176,605;2539,349258;134,8003666;;;;;
OW;79;22514,21;1223,284;2579,390502;140,14825;;;;;
OW;80;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;81;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;82;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;83;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;84;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;85;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;86;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;87;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;88;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;89;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;90;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;91;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;92;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;93;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;94;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;95;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;96;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;97;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;98;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;99;22868,89;1271,609;2620,025205;145,684711;;;;;
OW;100;22868,89;1271,609;2620,025205;145,684711;;;;;
OB1;2;0;0;0;0;;;;;
OB1;3;0;0;0;0;;;;;
OB1;4;0;0;0;0;;;;;
OB1;5;0;0;0;0;;;;;
OB1;6;0;0;0;0;;;;;
OB1;7;0;0;0;0;;;;;
OB1;8;0;0;0;0;;;;;
OB1;9;0;0;0;0;;;;;
OB1;10;0;0;0;0;;;;;
OB1;11;0;0;0;0;;;;;
OB1;12;0;0;0;0;;;;;
OB1;13;0;0;0;0;;;;;
OB1;14;0;0;0;0;;;;;
OB1;15;0;0;0;0;;;;;
OB1;16;0;0;0;0;;;;;
OB1;17;0;0;0;0;;;;;
OB1;18;0;0;0;0;;;;;
OB1;19;0;0;0;0;;;;;
OB1;20;11058,26;840,9856;1266,914132;96,3493842;;;;;
OB1;21;11245,28;841,4332;1288,340494;96,40066449;;;;;
OB1;22;11435,1;841,8461;1310,087644;96,4479693;;;;;
OB1;23;11627,75;842,2378;1332,159019;96,49284528;;;;;
OB1;24;11823,27;842,623;1354,559203;96,53697657;;;;;
OB1;25;12021,72;843,0177;1377,295068;96,58219625;;;;;
OB1;26;12223,12;843,4397;1400,368906;96,63054362;;;;;
OB1;27;12427,52;843,9082;1423,786447;96,68421837;;;;;
OB1;28;12634,97;844,4441;1447,553417;96,74561494;;;;;
OB1;29;12845,51;845,0703;1471,6744;96,81735693;;;;;
OB1;30;13059,19;845,8113;1496,155124;96,90225125;;;;;
OB1;31;13276,05;846,6938;1521,000172;97,00335682;;;;;
OB1;32;13496,13;847,7463;1546,214126;97,12393882;;;;;
OB1;33;13719,49;848,9997;1571,803861;97,26753738;;;;;
OB1;34;13946,17;850,4865;1597,773959;97,43787592;;;;;
OB1;35;14176,22;852,242;1624,130148;97,63899868;;;;;
OB1;36;14409,69;854,3034;1650,878158;97,87516755;;;;;
OB1;37;14646,63;856,7099;1678,023715;98,15087358;;;;;
OB1;38;14887,09;859,5033;1705,57255;98,47090565;;;;;
OB1;39;15131,12;862,7272;1733,530389;98,84025892;;;;;
OB1;40;15378,78;866,4275;1761,904107;99,26419201;;;;;
OB1;41;15630,12;870,652;1790,699433;99,74818125;;;;;
OB1;42;15885,18;875,4503;1819,920949;100,2979091;;;;;
OB1;43;16144,03;880,8738;1849,576674;100,9192645;;;;;
OB1;44;16406,73;886,9753;1879,673483;101,6182964;;;;;
OB1;45;16673,32;893,8088;1910,215959;102,4011915;;;;;
OB1;46;16943,87;901,4296;1941,212121;103,2742854;;;;;
OB1;47;17218,43;909,8935;1972,667698;104,2439709;;;;;
OB1;48;17497,07;919,2569;2004,590709;105,3167096;;;;;
OB1;49;17779,83;929,5762;2036,985736;106,4989632;;;;;
OB1;50;18066,8;940,9078;2069,863092;107,7971931;;;;;
OB1;51;18358,02;953,3076;2103,227359;109,2178037;;;;;
OB1;52;18653,55;966,8307;2137,08541;110,7671078;;;;;
OB1;53;18953,47;981,531;2171,446411;112,4512803;;;;;
OB1;54;19257,84;997,4612;2206,317237;114,2763591;;;;;
OB1;55;19566,72;1014,672;2241,70476;116,2481526;;;;;
OB1;56;19880,18;1033,214;2277,617002;118,372458;;;;;
OB1;57;20198,28;1053,133;2314,060835;120,6545225;;;;;
OB1;58;20521,11;1074,476;2351,046572;123,0997308;;;;;
OB1;59;20848,72;1097,284;2388,579939;125,71278;;;;;
OB1;60;21181,18;1121,6;2426,668958;128,4985966;;;;;
OB1;61;21518,58;1147,461;2465,323939;131,4614195;;;;;
